Worker size,Energy (FA),Energy (MZ),Time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-75.959,-14.278,1,28,8.19025,7.51185,5.07081
A1,-20.280,3.294,2,53,13.444,13.4858,13.4725
A1,-114.741,-36.688,1,25,7.95001,7.5782,6.03193
A1,-113.366,-21.582,3,64,4.26644,4.80345,3.44519
A1,22.377,15.216,1,74,6.84335,7.2539,6.01467
A1,-24.502,-11.856,2,49,5.3842,4.86418,4.36053
A1,-47.193,3.064,1,50,6.489,5.37443,3.7164
A1,-76.225,-24.712,2,98,6.81498,4.40675,3.35334
A1,-10.893,204.853,2,97,6.40758,5.4383,4.79881
A1,-37.922,-36.504,1,32,9.17158,7.35241,6.24751
A1,37.069,16.461,1,23,12.3325,11.8007,8.95506
A1,-0.960,-11.668,2,38,5.65254,4.15352,2.90951
A1,-2.300,79.667,2,24,10.6048,9.85056,9.31663
A1,-82.530,-20.308,2,24,5.82303,5.88103,5.01372
A1,-47.871,-25.836,1,60,9.08355,7.14287,5.67304
A1,-10.976,-2.903,2,47,8.55677,7.66063,6.59396
A1,-79.904,-1.097,2,60,11.669,11.9281,10.2215
A1,-24.824,-20.229,2,51,8.33062,5.18066,3.66201
A1,-57.305,-12.123,2,84,5.68454,4.58588,3.72375
A1,-112.294,-14.818,2,46,6.15959,5.91429,4.11179
A1,-75.425,-25.144,1,32,8.69021,8.03706,5.80256
A1,2.600,7.953,1,41,12.7355,11.2219,10.5286
A1,50.894,41.537,2,80,7.66297,5.99661,5.07454
A1,-93.344,31.701,2,43,5.95857,4.36733,3.05858
A1,-18.308,-15.277,1,33,8.42814,7.43738,5.10949
A1,107.704,-0.102,1,116,11.9056,12.2212,11.8423
A1,-71.722,-17.456,2,42,8.53186,7.87741,5.72087
A1,-31.984,14.320,2,51,7.46427,4.80499,3.69737
A1,-104.913,7.099,1,24,5.68348,5.11949,3.93816
A1,91.629,20.282,1,30,14.0505,13.2905,11.7239
A1,-0.282,-5.968,2,59,6.49204,5.25806,4.4665
A1,2.318,46.773,2,65,9.36328,7.61858,5.36364
A1,17.405,-9.757,1,54,11.756,10.5614,9.42983
A1,-97.248,-15.559,1,21,5.9881,5.45017,5.10427
A1,-46.215,5.583,1,57,9.34423,9.71441,9.17152
A1,67.303,113.085,2,52,12.8083,12.0525,12.0526
A1,-36.948,20.752,1,42,7.25604,7.53568,6.20294
A1,-44.376,64.267,2,38,4.29319,3.02363,2.40362
A1,-1.517,-7.376,2,60,10.5361,11.1437,10.2439
A1,20.875,-18.754,2,70,6.75394,7.38125,6.00735
A1,-105.695,-13.205,2,38,8.57636,8.71139,6.91238
A1,90.421,-11.291,1,38,10.6796,11.1924,11.0105
A1,-0.520,88.282,2,47,8.61628,7.95273,5.89353
A1,38.936,33.930,2,62,7.77875,7.49378,4.74137
A1,-36.485,7.664,1,36,9.88553,10.3711,9.9366
A1,80.322,93.225,1,47,11.974,11.4737,11.8736
A1,-15.326,-7.505,2,28,10.6097,10.2566,10.3618
A1,-73.897,-28.894,2,90,6.22515,3.87345,2.62894
A1,-77.768,-25.778,1,33,6.53053,5.6469,5.07011
A1,-80.094,-13.108,1,46,12.9913,12.8604,13.216
A1,-41.437,3.002,2,35,12.0872,12.7124,12.204
