Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-157.098,-37.689,1,0.868172,8,1.40574,1.21045,1.11694
A1,-154.820,-44.713,1,0.863014,14,1.96395,1.39387,1.18075
A1,-153.114,-40.731,1,0.84369,9,2.96956,2.00228,2.00771
A1,-148.223,-46.353,1,0.835427,12,1.97343,1.06758,1.06065
A1,-152.183,-42.373,1,0.846827,17,2.1344,1.98215,1.91873
A1,-159.535,-42.635,1,0.829876,9,2.86752,1.89111,1.94837
A1,-155.841,-42.593,1,0.827616,13,1.54029,1.5756,1.47688
A1,-150.717,-47.926,1,0.847804,16,2.25303,1.16691,1.16265
A1,-164.285,-39.450,1,0.817737,7,2.50764,1.53215,1.55753
A1,-151.354,-41.647,1,0.833672,11,2.72415,0.912297,0.863336
A1,-150.520,-45.578,1,0.841234,8,2.16997,1.36543,1.4303
A1,-151.376,-45.403,1,0.865943,6,1.86027,1.43413,1.44887
A1,-157.519,-36.745,1,0.850751,6,1.72303,0.958613,0.925523
A1,-152.693,-44.347,1,0.843922,9,2.14844,1.61727,1.68207
A1,-158.366,-36.852,1,0.864512,13,2.62474,2.04157,2.04629
A1,-168.642,-46.926,1,0.857583,13,2.58856,1.40761,1.43619
A1,-157.593,-42.476,1,0.881796,15,1.37498,1.22663,0.972658
A1,-151.655,-27.324,0,0.828716,7,2.84655,2.58621,2.25858
A1,-140.917,-43.396,1,0.852103,15,3.78592,2.03273,2.11824
A1,-145.149,-38.989,1,0.859119,19,3.34308,2.45157,2.41444
A1,-154.007,-17.698,1,0.834046,12,1.54138,1.0744,1.08589
A1,-151.387,-46.063,1,0.863456,11,1.37187,1.4905,1.35267
A1,-153.872,-48.688,1,0.852772,15,1.12071,0.863021,0.839563
A1,-152.507,-39.528,1,0.849198,10,2.38675,2.12862,2.08646
A1,-148.178,-49.212,1,0.852328,8,1.54848,0.967948,1.00076
A1,-150.871,-44.184,1,0.868797,15,1.65166,1.22074,1.27863
A1,-154.068,-43.702,0,0.845395,7,2.08007,1.41152,1.43937
A1,-128.155,-25.586,1,0.835326,6,3.34802,2.81495,2.75279
A1,-151.769,-42.834,1,0.857146,21,2.29484,0.9588,0.936504
A1,-152.425,-40.070,1,0.849443,9,1.22562,1.22947,1.1203
A1,-161.013,-41.502,1,0.833671,5,2.34178,1.33945,1.39032
