Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-234.783,-47.505,3,3.07724,168,21.1414,22.2329,16.5575
A1,-181.056,-29.937,2,2.70124,136,24.0647,21.7829,17.8932
A1,-176.825,-36.703,3,2.72103,168,21.1412,20.923,13.7223
A1,-170.982,-63.684,3,2.9986,158,19.508,19.9744,13.4289
A1,-151.138,-51.858,3,2.55739,194,14.3395,12.8868,9.38536
A1,-217.667,-60.865,3,2.82827,209,24.5621,23.79,18.8477
A1,-188.725,-72.357,3,2.9394,187,21.3917,20.0557,13.8189
A1,-224.018,-53.875,3,2.62407,140,22.4375,23.8123,16.7139
A1,-183.050,-60.072,3,2.76794,217,26.2623,25.8157,17.9023
A1,-179.410,-70.551,3,2.85208,154,26.0441,26.5122,18.5508
A1,-136.133,-58.049,3,2.71535,228,22.3163,21.7489,15.4272
A1,-162.047,-2.163,3,2.75768,217,20.8087,18.6623,14.4075
A1,-226.753,-63.286,3,2.99234,152,26.2933,25.1017,18.7336
A1,-221.228,-66.895,3,2.51961,129,20.9027,21.0896,16.3738
A1,-255.210,-42.253,3,2.65882,132,24.7786,24.2917,16.8357
A1,-143.412,-61.032,2,2.7077,221,23.4883,23.4494,16.6226
A1,-183.958,-83.254,3,2.92595,210,23.1498,21.6736,17.6837
A1,-92.923,-43.608,3,2.7055,113,18.6234,17.6337,12.483
A1,-219.513,-75.612,3,2.77114,160,20.8365,21.7145,18.4991
A1,-242.902,-60.446,3,2.90604,159,26.7846,23.0856,16.2596
A1,-140.311,-64.903,3,2.68661,249,22.2623,19.346,13.0093
A1,-203.951,-54.226,3,2.75388,138,17.2829,16.1922,11.7676
A1,-226.740,-35.363,3,2.87862,144,24.1518,23.1698,15.8819
A1,-216.876,-66.015,3,2.5989,74,19.1622,18.723,13.4229
A1,-109.870,-12.803,3,2.88351,177,24.3599,23.1803,16.3786
A1,-221.840,-18.581,2,2.83256,168,22.4928,21.587,15.5609
A1,-244.748,-9.846,3,2.72397,156,18.5753,18.311,11.7539
A1,-199.131,-46.559,2,2.65845,123,25.8613,26.2327,20.2663
A1,-207.132,-78.960,3,2.91662,218,17.4415,17.2949,13.588
A1,-168.037,-46.615,2,2.69345,145,25.011,19.1353,15.8192
A1,-240.715,-54.581,3,2.65897,147,21.7455,21.2605,14.9445
A1,-213.970,-42.805,3,2.90742,273,15.7987,12.1024,10.3154
A1,-253.198,-86.355,3,2.72883,136,24.3877,23.7586,17.6392
A1,-177.983,-50.409,3,2.91458,215,20.2282,16.9326,12.7707
A1,-231.109,-36.778,3,2.98369,294,20.9261,21.5764,14.6336
A1,-156.337,-43.639,3,2.6749,140,22.3193,22.0144,14.9646
A1,-228.619,-51.315,3,2.65723,109,20.4898,20.3077,13.6072
A1,-204.199,69.498,3,3.05575,221,25.3191,24.8884,19.4355
A1,-231.616,-36.202,2,2.63698,123,26.2925,24.6907,19.3518
A1,-207.232,-89.775,3,2.82186,195,19.1132,15.4116,12.2388
A1,-242.072,-67.421,3,2.94943,152,19.1932,20.8023,14.0159
A1,-220.940,-51.087,2,2.74616,231,14.0216,15.8945,12.8452
A1,-213.205,-16.767,3,2.71744,212,15.2453,13.6529,11.8613
A1,-177.101,-52.291,3,2.94113,236,19.2598,20.074,14.6826
A1,-178.030,-59.002,3,2.66742,180,28.2058,25.6488,19.475
A1,-222.828,-72.119,3,2.72486,186,19.0844,21.6479,15.3642
A1,-198.485,-49.090,3,2.85798,280,23.6534,24.8311,17.6705
A1,-257.325,-76.821,3,2.46511,124,22.7326,24.0781,16.587
A1,-210.778,-86.989,3,2.75278,173,18.1472,19.0908,13.3817
A1,-213.512,-27.236,2,2.81874,263,22.6346,16.9966,12.6651
A1,-221.833,-50.195,2,2.76861,179,17.6169,18.1797,14.4318
A1,-197.491,-71.273,3,2.67792,178,22.3579,23.0197,15.7212
A1,-227.841,-51.924,3,2.8651,165,21.3082,20.8291,16.9592
A1,-236.954,-87.616,3,2.93505,176,18.8988,16.898,13.984
A1,-170.100,-32.996,2,2.60443,199,21.9965,22.4107,15.9792
A1,-159.138,-45.131,2,2.75081,296,16.8688,18.8425,13.5365
A1,-146.675,-31.766,3,2.83315,285,16.2399,16.9499,15.4282
A1,-215.218,-53.361,2,2.71467,133,20.7965,23.275,18.3854
A1,-199.779,-61.294,2,2.76426,201,21.8804,20.6345,14.9826
A1,-203.587,-75.824,3,2.98911,156,16.378,15.5587,10.9493
A1,-187.596,-40.190,3,2.70892,103,16.9852,16.8478,12.3632
A1,-186.391,-31.412,3,2.74637,205,20.5967,21.1771,15.4986
A1,-236.626,-53.039,3,2.97679,187,22.3292,22.7126,15.9432
A1,-146.898,-46.583,3,2.80787,110,21.6441,21.1258,14.3751
A1,-291.058,-77.615,3,2.67611,180,16.5743,16.3894,12.7843
A1,-208.378,16.507,3,2.98282,252,14.8286,14.2914,10.9368
A1,-145.276,-53.954,3,2.64788,146,23.0555,19.8856,13.9271
A1,-181.891,-56.776,3,2.7797,114,21.608,20.2194,14.1517
A1,-221.265,-47.295,3,2.99223,225,15.26,14.1074,10.4195
A1,-216.898,-25.690,2,2.66939,161,24.2666,23.9648,18.2028
A1,-196.593,-48.473,2,2.61947,141,20.5253,20.1663,14.4892
A1,-201.035,-44.846,3,3.03934,104,25.8953,25.5328,19.5366
A1,-295.365,-72.681,3,2.5871,110,22.4609,22.1917,15.1674
A1,-248.767,-76.365,2,2.63637,172,20.2839,21.6584,15.4854
A1,-230.529,-4.282,3,2.7842,200,26.6834,25.3838,17.4679
A1,-157.472,-43.092,3,2.69563,113,17.4779,17.569,13.5066
A1,-208.604,-54.133,3,2.67805,204,25.3938,19.6143,15.4818
A1,-154.427,-53.183,3,2.86261,207,14.7926,11.4886,7.68895
A1,-174.252,2.086,3,2.76228,304,23.8056,22.7944,18.413
A1,-186.466,-22.553,2,2.73263,181,20.5708,18.5272,12.744
A1,-195.763,-71.399,3,2.96226,182,16.9941,15.0765,12.0319
A1,-257.488,-77.168,3,2.48575,202,20.5807,20.3563,13.6018
A1,-211.206,-66.459,3,2.56372,222,22.7574,22.0624,15.5898
A1,-187.097,-36.261,3,2.76142,163,16.4851,16.1627,11.584
A1,-172.301,-11.816,3,2.78589,176,22.4736,22.6701,15.586
A1,-263.810,-7.399,2,2.73441,162,21.1128,20.7816,14.3013
A1,-204.840,-26.935,3,2.72074,180,28.046,27.0704,18.5206
A1,-223.537,-54.661,3,2.97924,248,26.5773,24.3948,17.0985
A1,-197.682,-66.513,3,2.76336,127,26.193,25.9346,20.5179
A1,-188.997,-43.794,3,2.78588,91,19.0015,18.5125,12.5594
A1,-243.283,-96.460,3,3.07446,148,22.3333,21.2632,14.7838
A1,-241.109,-71.617,3,2.73384,198,27.1991,26.9079,18.2816
A1,-225.565,-96.297,3,2.76545,206,23.8849,20.195,15.2967
A1,-243.455,-3.278,3,3.08206,214,16.1585,15.8631,11.6335
A1,-216.130,-27.572,3,2.74715,68,25.0209,24.4933,17.5661
A1,-217.434,-72.271,2,2.65123,259,19.9956,16.9763,11.6706
A1,-230.089,-36.241,3,2.9538,216,15.1015,14.7053,11.3403
A1,-215.712,-58.882,2,2.72291,228,20.0009,19.7724,14.977
A1,-239.621,-69.718,3,2.75877,166,18.0782,14.8071,10.7521
A1,-243.839,-45.114,3,3.04303,218,20.6643,18.318,12.986
A1,-260.999,-81.885,3,2.69728,135,17.1804,13.8137,10.9
A1,-196.957,-66.335,3,2.66884,301,27.3107,24.6936,19.8375
