Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-163.813,-47.066,1,1.20338,50,6.82054,6.4537,5.4077
A1,-99.997,-36.825,1,1.1647,60,8.81956,6.21712,5.51474
A1,-180.589,-74.949,1,1.1861,46,7.11806,6.6397,6.55663
A1,-204.340,-71.462,1,1.20048,41,5.97237,4.98736,4.58366
A1,-154.944,-47.537,1,1.20233,37,10.1831,7.5999,7.42924
A1,-147.932,-40.632,1,1.20037,78,9.90719,9.74579,10.1269
A1,-185.857,-80.118,1,1.23959,45,5.81763,5.52919,5.61721
A1,-164.584,-54.495,1,1.21221,33,4.86418,4.65419,3.47249
A1,-155.210,-46.828,1,1.23548,27,6.69007,6.28763,5.85573
A1,-209.221,-50.614,1,1.19326,49,5.80738,5.44349,5.14644
A1,-186.530,-35.439,1,1.21126,68,5.56297,5.35761,4.933
A1,-202.476,-70.147,1,1.21752,55,5.72024,4.35945,3.78441
A1,-127.657,-52.165,1,1.22561,48,8.27502,6.0891,5.54899
A1,-212.233,-75.833,1,1.23494,67,7.29893,4.97737,3.9472
A1,-220.957,-84.853,1,1.18383,47,5.24542,5.08452,4.91613
A1,-63.114,-60.801,1,1.22947,37,12.2825,11.8937,11.5821
A1,-108.529,-65.533,1,1.19238,43,10.6084,7.13659,6.91987
A1,-217.806,-61.177,1,1.2249,15,4.63985,4.46918,4.30782
A1,-191.669,-1.506,1,1.20363,53,9.46149,7.77609,6.62982
A1,-191.481,-54.396,2,1.20301,27,5.42096,5.22862,3.92323
A1,-198.081,-51.048,1,1.15527,58,7.28248,7.08154,6.56877
A1,-189.190,-73.759,1,1.18555,56,7.75819,6.3193,5.7576
A1,-178.722,-22.641,1,1.18953,55,8.76821,8.57589,8.70079
A1,-219.424,-43.865,2,1.20651,49,5.6022,4.6812,4.16809
A1,-180.765,-21.743,1,1.22955,54,4.19809,3.77923,3.69939
A1,-154.294,-57.508,1,1.20377,51,6.96834,6.20088,6.17687
A1,-156.565,-56.315,1,1.14485,45,7.5817,6.82525,6.69028
A1,-188.114,-72.054,1,1.18871,38,5.31691,6.12907,5.85376
A1,-201.726,-64.264,1,1.23626,29,6.10995,6.05513,5.99632
A1,-178.464,-50.088,2,1.19158,53,5.4174,4.9341,3.69151
A1,-210.646,-50.980,1,1.18535,57,7.50876,6.55296,6.20675
A1,-196.222,-38.930,1,1.25968,57,4.67047,5.33186,4.64597
A1,-193.600,-80.508,1,1.20393,43,5.56826,5.55812,5.60195
A1,-213.768,-41.781,1,1.24101,53,4.06138,3.9911,3.70183
A1,-131.197,-38.316,1,1.18556,40,12.9418,11.9764,10.6732
A1,-204.090,-61.426,2,1.20265,34,8.39862,6.76993,6.60831
A1,-194.665,-54.220,2,1.19535,37,10.223,8.8632,8.75717
A1,-122.861,-37.322,1,1.19724,53,8.39036,7.9497,7.94891
A1,-168.126,-61.568,1,1.21416,28,6.34783,5.11481,3.96623
A1,-193.932,30.304,2,1.2077,57,6.38659,5.94127,5.02718
A1,-200.281,-46.207,1,1.22518,20,5.9203,5.47386,4.6651
A1,-171.983,-51.095,1,1.20197,38,8.25351,6.76434,6.02698
A1,-176.252,-12.119,1,1.18922,70,5.90799,5.21744,4.16958
A1,-195.306,-71.523,1,1.20812,37,8.28623,6.46874,5.86692
A1,-187.291,-54.381,1,1.18681,43,6.71582,6.92982,6.94829
A1,-186.087,-72.648,2,1.19258,93,5.98593,5.73742,5.51451
A1,-179.535,-82.048,1,1.21289,61,5.17547,4.29929,3.76875
A1,-163.334,-40.607,1,1.192,18,6.54248,6.15636,5.77436
A1,-87.753,-23.402,1,1.22643,39,11.8916,11.4029,10.9772
A1,-169.848,-48.683,1,1.22181,48,6.7132,5.94526,5.24302
A1,-223.255,-75.319,1,1.19714,47,5.4766,5.18613,5.15818
A1,-117.237,-70.305,1,1.21435,29,11.5409,9.25412,8.82725
A1,-138.582,-76.564,1,1.19805,50,5.68903,4.78174,4.39512
A1,-190.595,-42.111,1,1.23005,69,4.94131,4.45186,3.92921
A1,-169.127,-40.200,1,1.21753,59,6.27309,5.35721,4.69789
A1,-210.404,-61.450,1,1.22107,38,6.84905,5.80267,5.75585
A1,-180.268,-62.834,2,1.20198,22,6.89925,6.79899,6.78156
A1,-172.484,-67.065,1,1.1709,44,10.0935,7.53192,7.69793
A1,-199.921,-45.971,1,1.19883,51,10.3999,10.391,10.1516
A1,-152.156,-42.206,1,1.23212,52,12.2157,11.1339,11.8232
A1,-157.376,-73.171,1,1.20753,46,6.24407,6.66089,6.60184
A1,-204.156,-79.191,1,1.19651,43,4.5453,4.42995,4.28104
A1,-165.453,-58.163,1,1.17566,58,6.68772,6.34631,5.90989
A1,-188.564,-60.291,1,1.24979,28,6.74667,6.25481,5.95789
A1,-147.929,-60.998,1,1.23446,62,8.60045,8.75525,8.81467
A1,-187.939,-56.394,2,1.22767,23,7.07412,7.19524,7.16019
A1,-133.714,-40.897,1,1.17948,69,5.26114,5.03285,4.51284
A1,-191.441,-66.037,2,1.22092,32,5.27078,5.57326,5.27235
A1,-183.331,-61.715,1,1.22815,64,6.72474,5.36484,5.08756
A1,-196.014,-41.283,1,1.23196,29,6.75601,6.29951,6.00779
A1,-136.553,-53.027,1,1.21268,40,7.58971,6.68835,6.1176
A1,-179.456,-58.271,1,1.20898,48,9.54696,7.36972,6.04092
A1,-215.460,-54.260,1,1.22702,46,7.74346,7.30981,7.61291
A1,-176.010,-53.894,1,1.20389,25,7.79482,7.4428,7.40423
A1,-199.594,-28.644,1,1.17307,37,6.52575,6.2923,5.7203
A1,-199.112,-30.403,1,1.16842,75,7.40009,7.52013,6.95341
A1,-185.817,-63.492,1,1.20969,43,5.94251,4.70256,3.68826
A1,-82.138,-53.770,2,1.17936,40,12.4174,10.3212,10.3032
A1,-179.477,-53.646,1,1.21613,27,7.93248,5.2927,4.34713
A1,-205.828,-65.830,1,1.20218,45,7.40057,7.50412,7.22694
A1,-133.322,-68.958,1,1.23518,52,9.02249,5.81578,4.57331
A1,-146.625,-44.980,1,1.18235,39,9.19373,8.70941,8.1612
A1,-203.994,-67.971,1,1.20286,44,6.44182,7.30897,6.53975
A1,-157.228,-40.822,1,1.19762,39,9.0353,9.30458,9.44544
A1,-170.782,-72.270,1,1.21913,38,10.1918,7.52359,7.44629
A1,-152.154,-38.576,1,1.21326,40,11.4221,11.9275,11.6626
A1,-203.562,-66.374,1,1.2671,59,5.29138,4.72531,4.43456
A1,-161.050,-55.630,2,1.17797,64,8.55485,5.22277,4.27125
A1,-197.882,-64.932,2,1.18336,28,7.01318,6.31376,6.17733
A1,-172.034,-78.259,2,1.236,49,7.47519,4.54872,3.61037
A1,-154.960,-13.004,1,1.19122,47,7.76334,7.69808,7.66321
A1,-185.142,-75.373,1,1.23227,34,6.59894,5.70437,5.70215
A1,-189.756,-56.623,1,1.19476,58,6.72032,7.21706,6.94017
A1,-191.629,-76.677,1,1.23733,59,5.34912,5.16872,4.92107
A1,-182.724,-65.414,1,1.19626,45,7.33222,5.93501,5.69041
A1,-226.276,-55.603,1,1.20892,45,5.56276,5.33184,4.72424
A1,-202.849,-67.641,2,1.21789,52,5.45911,5.39821,5.40816
A1,-168.549,-67.438,1,1.23611,40,6.54531,6.26837,6.27143
A1,-187.470,-70.027,2,1.20479,29,9.30793,5.99521,5.71638
A1,-99.687,-66.755,1,1.19436,38,9.72391,7.83235,7.84781
A1,-236.608,-74.390,1,1.25632,25,5.54216,5.28359,4.92678
A1,-186.073,-54.969,2,1.18871,40,7.84208,7.22688,7.2959
A1,-160.756,-39.980,2,1.20852,64,5.7522,4.74732,3.8965
A1,-153.667,-52.520,1,1.17323,38,9.31444,9.15986,9.61182
A1,-206.436,-63.584,1,1.20838,55,8.46453,5.89682,5.47045
A1,-190.037,-10.038,1,1.2195,35,6.36468,5.11206,4.9991
A1,-193.966,-79.524,1,1.17473,44,6.15288,5.24695,5.03075
A1,-199.814,-43.279,1,1.21086,37,6.12718,5.32488,3.96569
A1,-169.586,-29.981,1,1.18538,44,6.77434,6.28097,5.21295
A1,-208.490,-72.006,2,1.17437,53,6.69523,5.40673,5.19936
A1,-186.008,-79.389,2,1.18517,62,5.39941,5.02406,4.77929
A1,-190.714,-42.150,1,1.24081,25,7.61343,7.15053,6.8369
A1,-129.769,-13.306,1,1.23369,59,6.74756,6.63274,5.23158
A1,-223.081,-67.424,2,1.21275,35,5.30227,5.23618,5.34214
