Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-68.363,-16.832,2,1.4935,66,6.41398,6.36425,4.11655
A1,43.575,28.695,1,1.70624,76,8.97978,6.94096,6.05812
A1,73.855,-17.729,2,1.40408,48,13.5166,11.1824,9.31938
A1,-30.899,39.538,1,1.69819,59,9.32718,9.1718,8.87518
A1,-77.470,-8.503,1,1.5072,24,9.59711,8.77214,7.1699
A1,-93.804,-17.625,2,1.66107,40,6.40187,5.83665,4.24547
A1,-22.432,2.948,2,1.67848,100,6.17666,4.64992,4.04953
A1,-53.071,-16.050,2,1.71584,43,6.30167,4.97505,3.68741
A1,6.556,3.281,1,1.53526,55,10.3912,9.77308,9.08165
A1,-17.887,12.991,2,1.69831,140,11.8873,11.8139,11.4918
A1,-55.895,-22.693,2,1.69458,60,7.8075,6.62357,5.8761
A1,-14.801,11.184,2,1.56594,89,12.2278,12.1277,12.0324
A1,5.627,-3.484,1,1.51693,60,10.7286,11.427,10.9327
A1,40.889,-14.982,2,1.58246,62,7.49407,6.49599,5.8965
A1,-24.182,-22.569,1,1.60404,51,7.51428,5.14479,4.16831
A1,23.574,-3.228,2,1.67664,35,9.33825,8.00575,6.96155
A1,-20.857,-16.302,2,1.463,40,7.05915,5.8932,3.97512
A1,-34.511,5.474,2,1.69382,63,11.5293,12.52,11.5581
A1,-29.861,2.694,1,1.60899,48,13.2867,13.4419,13.573
A1,-34.319,-6.543,1,1.68081,119,11.6641,12.5577,11.8836
A1,-19.574,-0.939,2,1.51108,37,8.9237,7.44013,5.36486
A1,-108.768,-28.149,2,1.70664,80,5.13443,5.64524,3.46244
A1,36.955,-11.234,2,1.5438,46,11.2803,9.48129,8.16068
A1,-41.608,39.547,2,1.69727,74,9.85027,9.44549,8.98506
A1,-85.847,-20.499,1,1.51306,20,7.41556,6.95563,5.90403
A1,19.893,-5.258,1,1.59993,67,13.1847,12.2304,12.3328
A1,19.838,-13.111,2,1.69101,48,7.14069,6.04403,4.77048
A1,-13.460,-5.538,2,1.65265,82,10.4676,10.9488,10.46
A1,-36.048,4.270,2,1.60157,38,10.6113,10.2918,9.27987
A1,-31.911,-26.676,2,1.69275,85,9.57511,8.2037,5.94855
A1,-37.453,-5.502,2,1.66468,57,12.5223,13.4625,13.277
A1,42.390,-1.730,2,1.71256,76,11.98,11.3556,9.30485
A1,53.698,-6.106,1,1.47043,48,13.3408,12.6475,10.5983
A1,-100.689,-22.905,2,1.68107,40,4.83066,4.72651,3.35483
A1,-14.466,-14.520,1,1.68197,56,9.84106,9.35898,8.25393
A1,-40.296,-35.341,2,1.59885,72,6.99201,3.78632,2.96092
A1,-6.394,30.053,1,1.4516,28,7.63673,5.90314,4.01435
A1,-32.188,20.710,2,1.67308,54,9.52609,8.90509,6.77311
A1,-14.774,-14.655,1,1.62112,47,8.01014,6.71575,5.786
A1,26.825,37.920,2,1.70411,69,9.88326,10.211,9.79277
A1,12.771,-16.065,2,1.49721,60,8.02106,8.47334,5.53516
A1,-21.198,42.078,2,1.64251,40,7.31583,7.03349,6.12504
A1,-68.638,-18.529,2,1.6612,141,12.6618,13.335,13.4602
A1,-51.527,38.024,2,1.75304,83,6.17946,6.34612,4.4863
A1,-85.132,-28.689,2,1.48086,35,9.47683,8.54406,5.87946
A1,23.555,11.199,2,1.6681,37,9.16205,8.09024,5.38232
A1,-80.595,-31.332,1,1.43616,36,7.52459,6.89843,4.91714
A1,-24.970,-2.954,2,1.71633,38,6.06786,4.64293,3.20739
A1,-27.416,-21.969,1,1.5065,97,13.1236,13.0062,12.8359
A1,-85.761,-27.083,2,1.71222,36,6.16345,4.64365,3.19778
A1,-14.763,-5.816,1,1.61966,102,7.11271,6.5075,5.82491
A1,-53.819,-20.875,2,1.73176,68,9.20216,7.77188,7.33874
A1,-39.568,-16.642,1,1.49208,79,5.24496,3.64308,2.86498
A1,34.708,55.921,1,1.71197,90,9.4037,8.27734,8.06334
A1,10.739,38.688,1,1.56548,51,9.67318,8.70707,8.35778
A1,50.536,-13.002,2,1.61625,100,12.0067,12.4733,12.9535
A1,-61.137,-6.166,1,1.56423,88,5.79493,6.96107,4.98586
A1,-8.116,-15.221,1,1.65074,120,7.63908,7.77859,4.75653
A1,-6.358,-5.745,2,1.62222,91,8.81438,7.58438,5.97642
A1,-54.854,-26.850,1,1.64865,36,5.78668,5.34334,3.46422
A1,-2.092,42.406,1,1.47824,67,11.3984,10.738,9.14607
A1,28.762,34.014,1,1.60058,71,10.8702,9.65331,8.9449
A1,-49.655,14.330,2,1.69334,69,9.58675,10.007,9.28438
A1,-28.058,113.653,2,1.67701,33,7.23656,6.59282,5.16996
A1,-80.212,-2.951,1,1.52985,37,7.44541,7.41647,5.44736
A1,-85.170,-15.174,2,1.65355,44,4.57263,4.57882,3.18623
A1,-8.271,-4.290,1,1.58369,55,8.92668,7.68461,5.40773
A1,-23.684,33.881,1,1.71043,41,10.656,9.97654,9.52756
A1,-17.157,-19.008,2,1.38868,30,6.78037,6.88274,4.80318
A1,-62.298,28.608,1,1.67243,51,10.6072,10.8361,10.0461
A1,2.244,2.511,2,1.74169,52,9.71994,9.25761,7.68665
A1,-10.653,28.379,2,1.70875,37,10.0127,9.14142,8.73098
A1,-44.614,-2.318,1,1.53645,46,12.737,12.0681,11.9639
A1,29.914,10.270,1,1.61868,41,9.07483,8.32392,7.93311
A1,-72.290,76.561,2,1.74598,42,5.83974,5.36775,4.18333
A1,-86.659,-4.024,2,1.75199,43,5.07242,4.57624,3.14151
